"File","Line","Content","ViolationType","ControlReference","Rule","Description","Suggestion"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","316","Y: ='LeaveRequest.Form.Reason.Input'.Y + 'LeaveRequest.Form.Reason.Input'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.Reason","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Reason' instead of LeaveRequest.Form.Reason"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","316","Y: ='LeaveRequest.Form.Reason.Input'.Y + 'LeaveRequest.Form.Reason.Input'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.Reason","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Reason' instead of LeaveRequest.Form.Reason"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","325","- 'LeaveRequest.Form.HandoverPerson.Dropdown':","ProblematicControlPattern","LeaveRequest.Form.HandoverPerson","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverPerson' instead of LeaveRequest.Form.HandoverPerson"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","329","Y: ='LeaveRequest.Form.HandoverPerson.Label'.Y + 'LeaveRequest.Form.HandoverPerson.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.HandoverPerson","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverPerson' instead of LeaveRequest.Form.HandoverPerson"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","329","Y: ='LeaveRequest.Form.HandoverPerson.Label'.Y + 'LeaveRequest.Form.HandoverPerson.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.HandoverPerson","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverPerson' instead of LeaveRequest.Form.HandoverPerson"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","340","- 'LeaveRequest.Form.HandoverContent.Label':","ProblematicControlPattern","LeaveRequest.Form.HandoverContent","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverContent' instead of LeaveRequest.Form.HandoverContent"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","344","Y: ='LeaveRequest.Form.HandoverPerson.Dropdown'.Y + 'LeaveRequest.Form.HandoverPerson.Dropdown'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.HandoverPerson","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverPerson' instead of LeaveRequest.Form.HandoverPerson"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","344","Y: ='LeaveRequest.Form.HandoverPerson.Dropdown'.Y + 'LeaveRequest.Form.HandoverPerson.Dropdown'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.HandoverPerson","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverPerson' instead of LeaveRequest.Form.HandoverPerson"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","347","Text: =""Nội dung giao việc *""","UnquotedControlWithSpecialChars","dung giao","7.1","Control name with special characters must be wrapped in single quotes","Use 'dung giao' instead of dung giao"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","353","- 'LeaveRequest.Form.HandoverContent.Input':","ProblematicControlPattern","LeaveRequest.Form.HandoverContent","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverContent' instead of LeaveRequest.Form.HandoverContent"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","357","Y: ='LeaveRequest.Form.HandoverContent.Label'.Y + 'LeaveRequest.Form.HandoverContent.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.HandoverContent","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverContent' instead of LeaveRequest.Form.HandoverContent"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","357","Y: ='LeaveRequest.Form.HandoverContent.Label'.Y + 'LeaveRequest.Form.HandoverContent.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.HandoverContent","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverContent' instead of LeaveRequest.Form.HandoverContent"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","368","- 'LeaveRequest.Form.Attachment.Label':","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","372","Y: ='LeaveRequest.Form.HandoverContent.Input'.Y + 'LeaveRequest.Form.HandoverContent.Input'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.HandoverContent","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverContent' instead of LeaveRequest.Form.HandoverContent"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","372","Y: ='LeaveRequest.Form.HandoverContent.Input'.Y + 'LeaveRequest.Form.HandoverContent.Input'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.HandoverContent","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.HandoverContent' instead of LeaveRequest.Form.HandoverContent"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","381","- 'LeaveRequest.Form.Attachment.Container':","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","386","Y: ='LeaveRequest.Form.Attachment.Label'.Y + 'LeaveRequest.Form.Attachment.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","386","Y: ='LeaveRequest.Form.Attachment.Label'.Y + 'LeaveRequest.Form.Attachment.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","393","- 'LeaveRequest.Form.Attachment.Info':","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","400","Text: =""Thông tin đính kèm tệp đã chọn (giời hạn xác định người nhận, giời hạn mở rộng, v.v.)"" & Char(10) & ""Hướng dẫn định dạng: PDF, Word, Excel, Image. Tệp đính kèm tối đa: 10MB""","UnquotedControlReference","v.v","8.12","Control name with dots must be wrapped in single quotes","Use 'v.v' instead of v.v"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","405","- 'LeaveRequest.Form.Attachment.Button':","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","419","- 'LeaveRequest.Form.SpecialCase.Container':","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","424","Y: ='LeaveRequest.Form.Attachment.Container'.Y + 'LeaveRequest.Form.Attachment.Container'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","424","Y: ='LeaveRequest.Form.Attachment.Container'.Y + 'LeaveRequest.Form.Attachment.Container'.Height + 20","ProblematicControlPattern","LeaveRequest.Form.Attachment","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Attachment' instead of LeaveRequest.Form.Attachment"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","428","- 'LeaveRequest.Form.SpecialCase.Label':","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","441","- 'LeaveRequest.Form.SpecialCase.Checkbox':","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","445","Y: ='LeaveRequest.Form.SpecialCase.Label'.Y + 'LeaveRequest.Form.SpecialCase.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","445","Y: ='LeaveRequest.Form.SpecialCase.Label'.Y + 'LeaveRequest.Form.SpecialCase.Label'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","454","- 'LeaveRequest.Form.SpecialReason.Input':","ProblematicControlPattern","LeaveRequest.Form.SpecialReason","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialReason' instead of LeaveRequest.Form.SpecialReason"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","458","Y: ='LeaveRequest.Form.SpecialCase.Checkbox'.Y + 'LeaveRequest.Form.SpecialCase.Checkbox'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","458","Y: ='LeaveRequest.Form.SpecialCase.Checkbox'.Y + 'LeaveRequest.Form.SpecialCase.Checkbox'.Height + 5","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","473","Y: ='LeaveRequest.Form.SpecialCase.Container'.Y + 'LeaveRequest.Form.SpecialCase.Container'.Height + 10","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","473","Y: ='LeaveRequest.Form.SpecialCase.Container'.Y + 'LeaveRequest.Form.SpecialCase.Container'.Height + 10","ProblematicControlPattern","LeaveRequest.Form.SpecialCase","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.SpecialCase' instead of LeaveRequest.Form.SpecialCase"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","495","- 'LeaveRequest.Form.Submit.Button':","ProblematicControlPattern","LeaveRequest.Form.Submit","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Submit' instead of LeaveRequest.Form.Submit"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","510","- 'LeaveRequest.Form.Cancel.Button':","ProblematicControlPattern","LeaveRequest.Form.Cancel","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Cancel' instead of LeaveRequest.Form.Cancel"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","513","X: ='LeaveRequest.Form.Submit.Button'.X + 'LeaveRequest.Form.Submit.Button'.Width + 20","ProblematicControlPattern","LeaveRequest.Form.Submit","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Submit' instead of LeaveRequest.Form.Submit"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\LeaveRequestScreen.yaml","513","X: ='LeaveRequest.Form.Submit.Button'.X + 'LeaveRequest.Form.Submit.Button'.Width + 20","ProblematicControlPattern","LeaveRequest.Form.Submit","8.12","Form control reference needs quotes","Use 'LeaveRequest.Form.Submit' instead of LeaveRequest.Form.Submit"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\ManagementScreen.yaml","6","=Set(varActiveScreen, ""Management""); Set(varManagementTab, ""Users""); Set(varUserList, Table({ID: ""EMP001"", FullName: ""Nguyễn Văn An"", Email: ""an.nguyen@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Nhân viên IT"", Role: ""Employee"", Manager: ""EMP002"", Status: ""Active""}, {ID: ""EMP002"", FullName: ""Trần Thị Bình"", Email: ""binh.tran@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Trưởng phòng IT"", Role: ""Manager"", Manager: ""EMP003"", Status: ""Active""}, {ID: ""EMP003"", FullName: ""Lê Văn Cường"", Email: ""cuong.le@asiashine.com"", Department: ""Ban Giám đốc"", Position: ""Giám đốc Khối"", Role: ""Director"", Manager: ""EMP004"", Status: ""Active""}, {ID: ""HR001"", FullName: ""Võ Thị Hoa"", Email: ""hoa.vo@asiashine.com"", Department: ""Phòng Nhân sự"", Position: ""Chuyên viên HR"", Role: ""HR"", Manager: ""EMP003"", Status: ""Active""})); Set(varLeaveQuotaList, Table({EmployeeID: ""EMP001"", EmployeeName: ""Nguyễn Văn An"", Year: 2024, TotalDays: 12, UsedDays: 3, RemainingDays: 9}, {EmployeeID: ""EMP002"", EmployeeName: ""Trần Thị Bình"", Year: 2024, TotalDays: 15, UsedDays: 5, RemainingDays: 10}, {EmployeeID: ""EMP003"", EmployeeName: ""Lê Văn Cường"", Year: 2024, TotalDays: 18, UsedDays: 2, RemainingDays: 16}, {EmployeeID: ""HR001"", EmployeeName: ""Võ Thị Hoa"", Year: 2024, TotalDays: 12, UsedDays: 1, RemainingDays: 11})); Set(varHolidayList, Table({Date: Date(2024,1,1), Name: ""Tết Dương lịch"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,10), Name: ""Tết Nguyên đán (Mùng 1)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,11), Name: ""Tết Nguyên đán (Mùng 2)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,4,30), Name: ""Ngày Giải phóng miền Nam"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,5,1), Name: ""Ngày Quốc tế Lao động"", Type: ""Public Holiday"", Status: ""Active""})); Set(varApprovalWorkflow, Table({Level: 1, RoleName: ""Manager"", Description: ""Trưởng nhóm/Trưởng phòng"", RequiredFor: ""All requests""}, {Level: 2, RoleName: ""Director"", Description: ""Giám đốc Khối"", RequiredFor: ""Requests > 3 days""}, {Level: 3, RoleName: ""Director"", Description: ""Giám đốc Điều hành"", RequiredFor: ""Requests > 5 days""})); Set(varSelectedUser, Blank()); Set(varIsProcessing, false)","UnquotedControlWithSpecialChars","Public Holiday","7.1","Control name with special characters must be wrapped in single quotes","Use 'Public Holiday' instead of Public Holiday"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\ManagementScreen.yaml","6","=Set(varActiveScreen, ""Management""); Set(varManagementTab, ""Users""); Set(varUserList, Table({ID: ""EMP001"", FullName: ""Nguyễn Văn An"", Email: ""an.nguyen@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Nhân viên IT"", Role: ""Employee"", Manager: ""EMP002"", Status: ""Active""}, {ID: ""EMP002"", FullName: ""Trần Thị Bình"", Email: ""binh.tran@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Trưởng phòng IT"", Role: ""Manager"", Manager: ""EMP003"", Status: ""Active""}, {ID: ""EMP003"", FullName: ""Lê Văn Cường"", Email: ""cuong.le@asiashine.com"", Department: ""Ban Giám đốc"", Position: ""Giám đốc Khối"", Role: ""Director"", Manager: ""EMP004"", Status: ""Active""}, {ID: ""HR001"", FullName: ""Võ Thị Hoa"", Email: ""hoa.vo@asiashine.com"", Department: ""Phòng Nhân sự"", Position: ""Chuyên viên HR"", Role: ""HR"", Manager: ""EMP003"", Status: ""Active""})); Set(varLeaveQuotaList, Table({EmployeeID: ""EMP001"", EmployeeName: ""Nguyễn Văn An"", Year: 2024, TotalDays: 12, UsedDays: 3, RemainingDays: 9}, {EmployeeID: ""EMP002"", EmployeeName: ""Trần Thị Bình"", Year: 2024, TotalDays: 15, UsedDays: 5, RemainingDays: 10}, {EmployeeID: ""EMP003"", EmployeeName: ""Lê Văn Cường"", Year: 2024, TotalDays: 18, UsedDays: 2, RemainingDays: 16}, {EmployeeID: ""HR001"", EmployeeName: ""Võ Thị Hoa"", Year: 2024, TotalDays: 12, UsedDays: 1, RemainingDays: 11})); Set(varHolidayList, Table({Date: Date(2024,1,1), Name: ""Tết Dương lịch"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,10), Name: ""Tết Nguyên đán (Mùng 1)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,11), Name: ""Tết Nguyên đán (Mùng 2)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,4,30), Name: ""Ngày Giải phóng miền Nam"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,5,1), Name: ""Ngày Quốc tế Lao động"", Type: ""Public Holiday"", Status: ""Active""})); Set(varApprovalWorkflow, Table({Level: 1, RoleName: ""Manager"", Description: ""Trưởng nhóm/Trưởng phòng"", RequiredFor: ""All requests""}, {Level: 2, RoleName: ""Director"", Description: ""Giám đốc Khối"", RequiredFor: ""Requests > 3 days""}, {Level: 3, RoleName: ""Director"", Description: ""Giám đốc Điều hành"", RequiredFor: ""Requests > 5 days""})); Set(varSelectedUser, Blank()); Set(varIsProcessing, false)","UnquotedControlWithSpecialChars","Public Holiday","7.1","Control name with special characters must be wrapped in single quotes","Use 'Public Holiday' instead of Public Holiday"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\ManagementScreen.yaml","6","=Set(varActiveScreen, ""Management""); Set(varManagementTab, ""Users""); Set(varUserList, Table({ID: ""EMP001"", FullName: ""Nguyễn Văn An"", Email: ""an.nguyen@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Nhân viên IT"", Role: ""Employee"", Manager: ""EMP002"", Status: ""Active""}, {ID: ""EMP002"", FullName: ""Trần Thị Bình"", Email: ""binh.tran@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Trưởng phòng IT"", Role: ""Manager"", Manager: ""EMP003"", Status: ""Active""}, {ID: ""EMP003"", FullName: ""Lê Văn Cường"", Email: ""cuong.le@asiashine.com"", Department: ""Ban Giám đốc"", Position: ""Giám đốc Khối"", Role: ""Director"", Manager: ""EMP004"", Status: ""Active""}, {ID: ""HR001"", FullName: ""Võ Thị Hoa"", Email: ""hoa.vo@asiashine.com"", Department: ""Phòng Nhân sự"", Position: ""Chuyên viên HR"", Role: ""HR"", Manager: ""EMP003"", Status: ""Active""})); Set(varLeaveQuotaList, Table({EmployeeID: ""EMP001"", EmployeeName: ""Nguyễn Văn An"", Year: 2024, TotalDays: 12, UsedDays: 3, RemainingDays: 9}, {EmployeeID: ""EMP002"", EmployeeName: ""Trần Thị Bình"", Year: 2024, TotalDays: 15, UsedDays: 5, RemainingDays: 10}, {EmployeeID: ""EMP003"", EmployeeName: ""Lê Văn Cường"", Year: 2024, TotalDays: 18, UsedDays: 2, RemainingDays: 16}, {EmployeeID: ""HR001"", EmployeeName: ""Võ Thị Hoa"", Year: 2024, TotalDays: 12, UsedDays: 1, RemainingDays: 11})); Set(varHolidayList, Table({Date: Date(2024,1,1), Name: ""Tết Dương lịch"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,10), Name: ""Tết Nguyên đán (Mùng 1)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,11), Name: ""Tết Nguyên đán (Mùng 2)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,4,30), Name: ""Ngày Giải phóng miền Nam"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,5,1), Name: ""Ngày Quốc tế Lao động"", Type: ""Public Holiday"", Status: ""Active""})); Set(varApprovalWorkflow, Table({Level: 1, RoleName: ""Manager"", Description: ""Trưởng nhóm/Trưởng phòng"", RequiredFor: ""All requests""}, {Level: 2, RoleName: ""Director"", Description: ""Giám đốc Khối"", RequiredFor: ""Requests > 3 days""}, {Level: 3, RoleName: ""Director"", Description: ""Giám đốc Điều hành"", RequiredFor: ""Requests > 5 days""})); Set(varSelectedUser, Blank()); Set(varIsProcessing, false)","UnquotedControlWithSpecialChars","Public Holiday","7.1","Control name with special characters must be wrapped in single quotes","Use 'Public Holiday' instead of Public Holiday"
"K:\Workspace\PowerApp\PowerAppp_AppNghiPhep\src\Screens\ManagementScreen.yaml","6","=Set(varActiveScreen, ""Management""); Set(varManagementTab, ""Users""); Set(varUserList, Table({ID: ""EMP001"", FullName: ""Nguyễn Văn An"", Email: ""an.nguyen@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Nhân viên IT"", Role: ""Employee"", Manager: ""EMP002"", Status: ""Active""}, {ID: ""EMP002"", FullName: ""Trần Thị Bình"", Email: ""binh.tran@asiashine.com"", Department: ""Phòng Công nghệ thông tin"", Position: ""Trưởng phòng IT"", Role: ""Manager"", Manager: ""EMP003"", Status: ""Active""}, {ID: ""EMP003"", FullName: ""Lê Văn Cường"", Email: ""cuong.le@asiashine.com"", Department: ""Ban Giám đốc"", Position: ""Giám đốc Khối"", Role: ""Director"", Manager: ""EMP004"", Status: ""Active""}, {ID: ""HR001"", FullName: ""Võ Thị Hoa"", Email: ""hoa.vo@asiashine.com"", Department: ""Phòng Nhân sự"", Position: ""Chuyên viên HR"", Role: ""HR"", Manager: ""EMP003"", Status: ""Active""})); Set(varLeaveQuotaList, Table({EmployeeID: ""EMP001"", EmployeeName: ""Nguyễn Văn An"", Year: 2024, TotalDays: 12, UsedDays: 3, RemainingDays: 9}, {EmployeeID: ""EMP002"", EmployeeName: ""Trần Thị Bình"", Year: 2024, TotalDays: 15, UsedDays: 5, RemainingDays: 10}, {EmployeeID: ""EMP003"", EmployeeName: ""Lê Văn Cường"", Year: 2024, TotalDays: 18, UsedDays: 2, RemainingDays: 16}, {EmployeeID: ""HR001"", EmployeeName: ""Võ Thị Hoa"", Year: 2024, TotalDays: 12, UsedDays: 1, RemainingDays: 11})); Set(varHolidayList, Table({Date: Date(2024,1,1), Name: ""Tết Dương lịch"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,10), Name: ""Tết Nguyên đán (Mùng 1)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,2,11), Name: ""Tết Nguyên đán (Mùng 2)"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,4,30), Name: ""Ngày Giải phóng miền Nam"", Type: ""Public Holiday"", Status: ""Active""}, {Date: Date(2024,5,1), Name: ""Ngày Quốc tế Lao động"", Type: ""Public Holiday"", Status: ""Active""})); Set(varApprovalWorkflow, Table({Level: 1, RoleName: ""Manager"", Description: ""Trưởng nhóm/Trưởng phòng"", RequiredFor: ""All requests""}, {Level: 2, RoleName: ""Director"", Description: ""Giám đốc Khối"", RequiredFor: ""Requests > 3 days""}, {Level: 3, RoleName: ""Director"", Description: ""Giám đốc Điều hành"", RequiredFor: ""Requests > 5 days""})); Set(varSelectedUser, Blank()); Set(varIsProcessing, false)","UnquotedControlWithSpecialChars","Public Holiday","7.1","Control name with special characters must be wrapped in single quotes","Use 'Public Holiday' instead of Public Holiday"
